song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit
Don't Let Me Down,The Chainsmokers Featuring Daya,52,2010,The Chainsmokers ,,,,,,,,,,,,,,,,,,,,,
Meant To Be,Bebe Rexha & Florida Georgia Line,51,2010,Bebe Rexha & Florida Georgia Line,,,,,,,,,,,,,,,,,,,,,
I Like It,"Cardi B, Bad Bunny & J Balvin",51,2010,"Cardi B, Bad Bunny & J Balvin",,,,,,,,,,,,,,,,,,,,,
Love Lies,Khalid & Normani,51,2010,Khalid & Normani,,,,,,,,,,,,,,,,,,,,,
F**k You! (Forget You),Cee Lo Green,48,2010,Cee Lo Green,,,,,,,,,,,,,,,,,,,,,
Where Are U Now,Skrillex & Diplo With Justin Bieber,45,2010,Skrillex & Diplo With Justin Bieber,,,,,,,,,,,,,,,,,,,,,
Happier,Marshmello & Bastille,43,2010,Marshmello & Bastille,,,,,,,,,,,,,,,,,,,,,
Can't Feel My Face,The Weeknd,41,2010,The Weeknd,,,,,,,,,,,,,,,,,,,,,
Drops Of Jupiter (Tell Me),Train,53,2000,Train,,,,,,,,,,,,,,,,,,,,,
It's Been Awhile,Staind,46,2000,Staind,,,,,,,,,,,,,,,,,,,,,
Can't Fight The Moonlight,LeAnn Rimes,42,2000,LeAnn Rimes,,,,,,,,,,,,,,,,,,,,,
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,40,2000,The Pussycat Dolls ,,,,,,,,,,,,,,,,,,,,,
Don't Trust Me,3OH!3,37,2000,3OH!3,,,,,,,,,,,,,,,,,,,,,
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,36,2000,Nivea ,,,,,,,,,,,,,,,,,,,,,
Foolish Games/You Were Meant For Me,Jewel,65,1990,Jewel,,,,,,,,,,,,,,,,,,,,,
Macarena (Bayside Boys Mix),Los Del Rio,60,1990,Los Del Rio,,,,,,,,,,,,,,,,,,,,,
How's It Going To Be,Third Eye Blind,52,1990,Third Eye Blind,,,,,,,,,,,,,,,,,,,,,
Follow You Down/Til I Hear It From You,Gin Blossoms,46,1990,Gin Blossoms,,,,,,,,,,,,,,,,,,,,,
You Gotta Be,Des'ree,44,1990,Des'ree,,,,,,,,,,,,,,,,,,,,,
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,42,1990,Elton John,,,,,,,,,,,,,,,,,,,,,
C'mon N' Ride It (The Train),Quad City DJ's,42,1990,Quad City DJ's,,,,,,,,,,,,,,,,,,,,,
Wild Night,John Mellencamp With Me'Shell Ndegeocello,42,1990,John Mellencamp With Me'Shell Ndegeocello,,,,,,,,,,,,,,,,,,,,,
You're Still The One,Shania Twain,42,1990,Shania Twain,,,,,,,,,,,,,,,,,,,,,
You're Makin' Me High/Let It Flow,Toni Braxton,41,1990,Toni Braxton,,,,,,,,,,,,,,,,,,,,,
"Insensitive (From ""Bed Of Roses"")",Jann Arden,40,1990,Jann Arden,,,,,,,,,,,,,,,,,,,,,
I'm The Only One,Melissa Etheridge,40,1990,Melissa Etheridge,,,,,,,,,,,,,,,,,,,,,
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,38,1990,Coolio ,,,,,,,,,,,,,,,,,,,,,
Don't Let Go (Love),En Vogue,35,1990,En Vogue,,,,,,,,,,,,,,,,,,,,,
Don't Walk Away,Jade,35,1990,Jade,,,,,,,,,,,,,,,,,,,,,
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,34,1990,R. Kelly,,,,,,,,,,,,,,,,,,,,,
"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,33,1990,Brandy,,,,,,,,,,,,,,,,,,,,,
I'll Make Love To You,Boyz II Men,33,1990,Boyz II Men,,,,,,,,,,,,,,,,,,,,,
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,33,1990,Puff Daddy & Faith Evans ,,,,,,,,,,,,,,,,,,,,,
"End Of The Road (From ""Boomerang"")",Boyz II Men,32,1990,Boyz II Men,,,,,,,,,,,,,,,,,,,,,
"For You I Will (From ""Space Jam"")",Monica,32,1990,Monica,,,,,,,,,,,,,,,,,,,,,
Where Are You Now?,Jimmy Harnen With Synch,36,1980,Jimmy Harnen With Synch,,,,,,,,,,,,,,,,,,,,,
Jessie's Girl,Rick Springfield,32,1980,Rick Springfield,,,,,,,,,,,,,,,,,,,,,
I'll Always Love You,Taylor Dayne,30,1980,Taylor Dayne,,,,,,,,,,,,,,,,,,,,,
You And I,Eddie Rabbitt With Crystal Gayle,29,1980,Eddie Rabbitt With Crystal Gayle,,,,,,,,,,,,,,,,,,,,,
"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,29,1980,Bette Midler,,,,,,,,,,,,,,,,,,,,,
Chariots Of Fire - Titles,Vangelis,28,1980,Vangelis,,,,,,,,,,,,,,,,,,,,,
"Kokomo (From""Cocktail"" )",The Beach Boys,28,1980,The Beach Boys,,,,,,,,,,,,,,,,,,,,,
Don't You Want Me,The Human League,28,1980,The Human League,,,,,,,,,,,,,,,,,,,,,
What's Love Got To Do With It,Tina Turner,28,1980,Tina Turner,,,,,,,,,,,,,,,,,,,,,
"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel,28,1980,Peter Gabriel,,,,,,,,,,,,,,,,,,,,,
Heart And Soul,T'Pau,27,1980,T'Pau,,,,,,,,,,,,,,,,,,,,,
Endless Love,Diana Ross & Lionel Richie,27,1980,Diana Ross & Lionel Richie,,,,,,,,,,,,,,,,,,,,,
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,26,1980,Bobby McFerrin,,,,,,,,,,,,,,,,,,,,,
"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,26,1980,Baltimora,,,,,,,,,,,,,,,,,,,,,
Don't Be Cruel,Bobby Brown,26,1980,Bobby Brown,,,,,,,,,,,,,,,,,,,,,
The Look Of Love (Part One),ABC,25,1980,ABC,,,,,,,,,,,,,,,,,,,,,
With You I'm Born Again,Billy Preston & Syreeta,25,1980,Billy Preston & Syreeta,,,,,,,,,,,,,,,,,,,,,
Superstar,Murray Head With The Trinidad Singers,31,1970,Murray Head With The Trinidad Singers,,,,,,,,,,,,,,,,,,,,,
Devil's Gun,C.J. & Company,29,1970,C.J. & Company,,,,,,,,,,,,,,,,,,,,,
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,28,1970,Walter Murphy & The Big Apple Band,,,,,,,,,,,,,,,,,,,,,
She's Gone,Daryl Hall John Oates,28,1970,Daryl Hall John Oates,,,,,,,,,,,,,,,,,,,,,
Love Machine (Part 1),The Miracles,28,1970,The Miracles,,,,,,,,,,,,,,,,,,,,,
"Black Superman - ""Muhammad Ali""",Johnny Wakelin & The Kinshasa Band,27,1970,Johnny Wakelin & The Kinshasa Band,,,,,,,,,,,,,,,,,,,,,
Don't It Make My Brown Eyes Blue,Crystal Gayle,26,1970,Crystal Gayle,,,,,,,,,,,,,,,,,,,,,
I've Found Someone Of My Own,The Free Movement,26,1970,The Free Movement,,,,,,,,,,,,,,,,,,,,,
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",26,1970,"Marilyn McCoo & Billy Davis, Jr.",,,,,,,,,,,,,,,,,,,,,
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,25,1970,Rick Dees & His Cast Of Idiots,,,,,,,,,,,,,,,,,,,,,
You're The One That I Want,John Travolta & Olivia Newton-John,24,1970,John Travolta & Olivia Newton-John,,,,,,,,,,,,,,,,,,,,,
I'd Really Love To See You Tonight,England Dan & John Ford Coley,24,1970,England Dan & John Ford Coley,,,,,,,,,,,,,,,,,,,,,
Don't Cry Out Loud,Melissa Manchester,23,1970,Melissa Manchester,,,,,,,,,,,,,,,,,,,,,
Heaven On The 7th Floor,Paul Nicholas,23,1970,Paul Nicholas,,,,,,,,,,,,,,,,,,,,,
I'm Your Boogie Man,KC And The Sunshine Band,23,1970,KC And The Sunshine Band,,,,,,,,,,,,,,,,,,,,,
Never On Sunday,Don Costa And His Orchestra And Chorus,26,1960,Don Costa And His Orchestra And Chorus,,,,,,,,,,,,,,,,,,,,,
Let's Twist Again,Chubby Checker,24,1960,Chubby Checker,,,,,,,,,,,,,,,,,,,,,
I'm Sorry,Brenda Lee,23,1960,Brenda Lee,,,,,,,,,,,,,,,,,,,,,
I'll Never Fall In Love Again,Tom Jones,23,1960,Tom Jones,,,,,,,,,,,,,,,,,,,,,
"Hello, Dolly!",Louis Armstrong And The All Stars,22,1960,Louis Armstrong And The All Stars,,,,,,,,,,,,,,,,,,,,,
He'll Have To Go,Jim Reeves,22,1960,Jim Reeves,,,,,,,,,,,,,,,,,,,,,
Only The Lonely (Know How I Feel),Roy Orbison,21,1960,Roy Orbison,,,,,,,,,,,,,,,,,,,,,
It's Now Or Never,Elvis Presley With The Jordanaires,20,1960,Elvis Presley With The Jordanaires,,,,,,,,,,,,,,,,,,,,,
Love You So,Ron Holden with The Thunderbirds,19,1960,Ron Holden with The Thunderbirds,,,,,,,,,,,,,,,,,,,,,
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,19,1960,Charlie Ryan and the Timberline Riders,,,,,,,,,,,,,,,,,,,,,
My True Story,The Jive Five With Joe Rene And Orchestra,19,1960,The Jive Five With Joe Rene And Orchestra,,,,,,,,,,,,,,,,,,,,,
It's Getting Better,Mama Cass,19,1960,Mama Cass,,,,,,,,,,,,,,,,,,,,,
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,18,1960,Paul Mauriat And His Orchestra,,,,,,,,,,,,,,,,,,,,,
Once In Awhile,The Chimes,18,1960,The Chimes,,,,,,,,,,,,,,,,,,,,,
Everybody's Somebody's Fool,Connie Francis,18,1960,Connie Francis,,,,,,,,,,,,,,,,,,,,,
Alley Cat,Bent Fabric and His Piano,18,1960,Bent Fabric and His Piano,,,,,,,,,,,,,,,,,,,,,
Mockingbird,Inez Foxx with Charlie Foxx,18,1960,Inez Foxx with Charlie Foxx,,,,,,,,,,,,,,,,,,,,,
Image Of A Girl,Safaris with The Phantom's Band,18,1960,Safaris with The Phantom's Band,,,,,,,,,,,,,,,,,,,,,
Apache,Jorgen Ingmann & His Guitar,17,1960,Jorgen Ingmann & His Guitar,,,,,,,,,,,,,,,,,,,,,
Blue's Theme,Davie Allan And The Arrows,17,1960,Davie Allan And The Arrows,,,,,,,,,,,,,,,,,,,,,
